"","X.3","X.2","X.1","X","Census.Tract","Pesticides","Tox..Release","Pollution.Burden.Score","PM2.5","Traffic","Ozone","Asthma"
"85",85,85,85,85,6037570203,0,7182.133547,8.23267786718156,12.07684795,2820.212253,0.04320513,68.25
"86",86,86,86,86,6037533002,0,4161.033366,7.77471371332161,12.136112,1078.399826,0.04539285,80.16
"87",87,87,87,87,6037228100,0,3011.45992,8.0186440329934,12.15734144,554.9191044,0.04632538,69.35
"88",88,88,88,88,6099002100,0,558.5936686,7.47609866548155,11.44969032,559.8361609,0.05395594,99.94
"89",89,89,89,89,6037532603,0,3826.773356,7.68153623055653,12.14111892,805.1329156,0.04588368,60.74
"90",90,90,90,90,6037117408,0,650.1786652,7.45389467803859,12.06000567,3927.660141,0.06464682,86.23
"91",91,91,91,91,6037204700,0,2522.046671,8.6218843678136,12.30827709,4013.208536,0.04791979,70.82
"92",92,92,92,92,6037302401,0,1774.731018,8.50799814649397,11.87080549,1006.129331,0.05219839,65.09
"93",93,93,93,93,6037602900,28.66906106,10779.88688,8.9166058332254,12.12237612,875.4572135,0.04259906,66.53
"94",94,94,94,94,6029004402,2497.459732,229.1563263,7.91216843095585,13.91821858,245.8278104,0.060311,42.69
"95",95,95,95,95,6037433504,0.041357159,2374.994405,8.15161031659166,11.96074742,602.1711841,0.05530288,65.92
"96",96,96,96,96,6067005301,4.920088171,169.8416646,8.45347641769716,9.096159717,1892.222241,0.04632538,133.65
"97",97,97,97,97,6037121222,0,764.6736857,8.44715544579563,11.41126373,2560.759679,0.06464682,74.78
"98",98,98,98,98,6037185320,0,1640.341634,8.55559654816744,12.45587973,2390.883961,0.05022962,65.4
"99",99,99,99,99,6037540000,0,7876.333211,8.25197054342235,12.04697253,3490.191587,0.04435661,67.6
"100",100,100,100,100,6065030400,0,599.6749979,8.43103947279663,12.35264701,1416.184446,0.06718273,61
"101",101,101,101,101,6037120010,0,680.3183187,7.74869054563908,12.08174436,1392.963629,0.06464682,93.8
"102",102,102,102,102,6037404703,1.454533973,2037.961304,9.30337744884057,12.02600668,4410.033774,0.05679963,64.73
"103",103,103,103,103,6037240200,0,5622.976807,7.31066501188124,12.116733,3525.282743,0.0438112,113.88
"104",104,104,104,104,6037241120,0,7514.196533,7.18695771589478,12.0881206,2775.215502,0.04320513,125.21
"105",105,105,105,105,6037242100,0,6522.666707,7.53402463752491,12.06544894,956.109058,0.04435661,103.63
"106",106,106,106,106,6037570202,19.66195553,8473.469807,8.95784988060764,12.19282827,2371.319143,0.04320513,63.41
"107",107,107,107,107,6037121900,0,859.338989,8.06001394005818,11.43961966,1676.067303,0.06350576,69.64
"108",108,108,108,108,6037241002,0,10566.41976,7.81538941282155,12.0964657,3247.400721,0.04320513,97.62
"109",109,109,109,109,6029002000,0,35.51830037,7.1852444000221,15.81268363,887.5730984,0.06464682,110.77
"110",110,110,110,110,6019002400,0,1495.993378,7.47857709764146,13.73001704,2460.086197,0.060311,128.34
"111",111,111,111,111,6037204600,0,2338.079997,8.86994336424848,12.47302993,3291.982798,0.04791979,51.48
"112",112,112,112,112,6037204820,0,3039.246664,8.77444220143486,12.24094412,3550.700079,0.04791979,76.1
"113",113,113,113,113,6037601502,8.28920694,5207.986653,8.13091512829066,12.04273571,2588.432656,0.04259906,60.33
"114",114,114,114,114,6019002000,0.025532929,1291.822357,8.39870950117428,13.56473948,1093.522676,0.060311,73.1
"115",115,115,115,115,6037531301,0,2975.109944,8.27985029010724,12.18460314,3107.507264,0.04863521,60.62
"116",116,116,116,116,6037122420,0,959.8056439,7.67331200875322,11.51838156,792.5627615,0.06236471,79.39
"117",117,117,117,117,6037242200,0,6110.110026,7.00966460110675,12.06896138,559.8170989,0.04435661,103.63
"118",118,118,118,118,6037239501,0,4610.929932,7.32833113947448,12.14625901,1152.544557,0.04490202,76.06
"119",119,119,119,119,6019002502,0,1530.843302,7.10680296232238,13.71723318,2784.997451,0.060311,119.77
"120",120,120,120,120,6037533001,0,4111.069987,7.26068471120444,12.15052197,813.5117297,0.04539285,80.16
